codmun,n_obs,pop_weight_sum,AAI_total,AAI_ci_lower,AAI_ci_upper,AAI_ci_width,health_score,functional_score,reliable,uf
520012,8,11816.35953329,,,,,0.2576375829355523,0.008162106650553697,False,Goiás
520013,12,31597.239159290002,0.1269041135403854,0.10235890963912972,0.1575647769843807,0.055205867345250986,0.24027262753054066,0.013535599550230133,False,Goiás
520015,4,3888.3993472700004,,,,,0.26992586155772375,0.04362492699177001,False,Goiás
520016,3,5993.845633,,,,,0.24080201906337576,0.0,False,Goiás
520017,5,7794.92406514,,,,,0.29529037311914247,0.05539690388077491,False,Goiás
520018,3,2145.92546097,,,,,0.2695964136313328,0.01960832961503701,False,Goiás
520019,9,5019.34736315,,,,,0.283639460963407,0.038787555095772266,False,Goiás
520020,5,6294.282847740001,,,,,0.26554014312290736,0.0065409547795874014,False,Goiás
520021,13,13439.401327239997,0.1770346169328563,0.13362622422129544,0.2313955470079429,0.09776932278664746,0.29434288442750844,0.059726349438204096,False,Goiás
520022,17,13032.04496089,0.14367754474075337,0.12470207219336281,0.1817833469660264,0.0570812747726636,0.26749156492451187,0.019863524556994888,False,Goiás
520023,5,3487.8199741500002,,,,,0.3057336151085753,0.061803494304499725,False,Goiás
520024,4,10284.627071599998,,,,,0.2617823066342588,0.02938462093142135,False,Goiás
520025,4,2492.1368721,,,,,0.3931142741383919,0.1587073945114878,False,Goiás
520026,6,6227.097973000001,,,,,0.4005228341155142,0.15994350307116964,False,Goiás
520027,7,8067.425092479999,,,,,0.24506633162385044,0.007416501779331314,False,Goiás
520028,14,8478.48903456,0.15830481368773125,0.12663605229324487,0.2003683796432956,0.07373232735005072,0.2814309917965608,0.035178635578901656,False,Goiás
520030,6,5403.316562170001,,,,,0.21597085282176592,0.01904479851698207,False,Goiás
520032,10,23151.431338950002,0.16644651061029342,0.09185358852713497,0.2512449938993031,0.15939140537216812,0.2705971600218852,0.06229586119870161,False,Goiás
520033,6,7732.6410228,,,,,0.3036732759862172,0.04889787309007728,False,Goiás
520034,13,36071.194394109996,0.13042530423490123,0.1216637235582225,0.1424802796139104,0.020816556055687913,0.2541071222212651,0.006743486248537396,False,Goiás
520035,1,512.89811945,,,,,0.2912203176267676,0.0,False,Goiás
520036,11,13796.542087020001,0.12913161065031997,0.12169251889500078,0.13610017473402755,0.01440765583902677,0.24633367047552082,0.011929550825119112,False,Goiás
520037,14,32650.09519825,0.14173384101920827,0.12056934507595381,0.1875164601776545,0.06694711510170069,0.26440723718152515,0.019060444856891436,False,Goiás
520038,7,21330.64264503,,,,,0.2606242468759031,0.015578939793331885,False,Goiás
520039,7,5987.19928033,,,,,0.24401653191319514,0.0061204807470481,False,Goiás
520040,10,12293.706303230001,0.12176070382550669,0.08181126045453507,0.20232248851954357,0.1205112280650085,0.21540181616083973,0.02811959149017361,False,Goiás
520041,5,2349.25891757,,,,,0.2556843995329968,0.0,False,Goiás
520042,16,32584.6998772,0.19565459162311916,0.14207242381852575,0.27330684332246596,0.13123441950394021,0.31977920000048543,0.07152998324575281,False,Goiás
520043,10,16314.7357815,0.25280799206238036,0.1555228681777916,0.3423092410907748,0.18678637291298322,0.36778006692495757,0.13783591719980315,False,Goiás
520044,4,10607.2855162,,,,,0.32036144516782483,0.075,False,Goiás
520045,2,5439.12024409,,,,,0.5843961257506932,0.37500000000013783,False,Goiás
520046,4,1837.4950076,,,,,0.3177301039093076,0.07654128133371044,False,Goiás
520047,18,20564.66540309,0.22065938719223138,0.15906622691622957,0.2979464174848593,0.1388801905686297,0.3431526727554683,0.09816610162899446,False,Goiás
520048,11,14844.27225998,0.1500034868385547,0.12732156712388518,0.18324584709159358,0.05592427996770841,0.26784772804898166,0.03215924562812774,False,Goiás
520049,11,7614.13571402,0.14082289386266403,0.0984142251659396,0.18193042170765408,0.08351619654171448,0.24645351808314078,0.03519226964218725,False,Goiás
520050,20,14976.75920119,0.15901343679728908,0.12658094672488138,0.20183647259088058,0.0752555258659992,0.28143643308212357,0.0365904405124546,False,Goiás
520051,13,11689.214133899999,0.24381961594091303,0.10876811588992868,0.40344602643774397,0.2946779105478153,0.34813776854641676,0.1395014633354094,False,Goiás
520052,1,1013.38495441,,,,,0.2912203176267676,0.0,False,Goiás
520054,4,6997.097095169999,,,,,0.3113406114182819,0.07669036094581487,False,Goiás
520055,4,3686.1134709999997,,,,,0.49015044201391766,0.25892216794429773,False,Goiás
520057,14,30809.152013109997,0.16773273894124893,0.10083306070805095,0.27031281565908705,0.1694797549510361,0.2759159822183586,0.05954949566413922,False,Goiás
520058,4,8636.73707925,,,,,0.24164535180395158,0.0,False,Goiás
520059,7,16032.7142768,,,,,0.2891494535358707,0.049502584923032014,False,Goiás
